concept,cluster
regulation of intracellular transport,1
regulation of primary metabolic process,1
signaling receptor regulator activity,1
transcription by RNA polymerase II,1
regulation of platelet activation,1
regulation of glomerular mesangial cell proliferation,1
cellular response to oxygen-containing compound,2
regulation of interleukin-6 production,2
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2
regulation of carbohydrate metabolic process,2
tight junction organization,2
cellular response to starvation,3
regulation of interleukin-4 production,3
tight junction assembly,3
nitric-oxide synthase regulator activity,3
camera-type eye development,4
microglial cell activation,4
disruption of anatomical structure in another organism,4
disruption of cell in another organism,4
syncytium formation by plasma membrane fusion,4
cellular response to transforming growth factor beta stimulus,4
cellular response to oxidative stress,4
embryonic digestive tract development,4
regulation of immune effector process,5
regulation of glial cell migration,5
regulation of epithelial cell proliferation,5
canonical NF-kappaB signal transduction,5
positive regulation of extracellular matrix organization,5
positive regulation of extrinsic apoptotic signaling pathway,5
signaling receptor binding,5
stress fiber assembly,5
response to sterol,6
response to temperature stimulus,6
endothelial cell proliferation,7
endothelial cell development,7
replicative senescence,7
endothelial cell migration,7
interleukin-2 production,8
intracellular signaling cassette,8
interleukin-3-mediated signaling pathway,8
renal tubule development,8
prostaglandin biosynthetic process,8
regulation of small molecule metabolic process,9
regulation of establishment of protein localization,9
positive regulation of vascular associated smooth muscle cell proliferation,9
prostate gland development,9
lipid localization,9
regulation of endocytosis,9
molecular transducer activity,10
regulation of calcium-mediated signaling,10
regulation of pattern recognition receptor signaling pathway,10
monoatomic cation homeostasis,10
regulation of peptidase activity,10
cardiac chamber morphogenesis,11
carbohydrate derivative binding,11
regulation of nucleobase-containing compound metabolic process,11
regulation of nitric oxide biosynthetic process,12
positive regulation of transmembrane transport,12
positive regulation of T cell activation,13
regulation of lipid metabolic process,13
maintenance of cell number,14
lytic vacuole,14
macromolecule localization,14
epiboly,14
negative regulation of interleukin-17 production,14
regulation of fatty acid transport,14
regulation of biological process,15
regulation of biological process involved in symbiotic interaction,15
positive regulation of type I interferon production,16
interleukin-27-mediated signaling pathway,16
regulation of T-helper 2 cell cytokine production,16
"""regulation of DNA damage response, signal transduction by p53 class mediator""",17
negative regulation of leukocyte chemotaxis,17
regulation of DNA biosynthetic process,17
positive regulation of microglial cell migration,18
glial cell activation,18
positive regulation of monoatomic ion transport,18
positive regulation of developmental process,19
positive regulation of endothelial cell apoptotic process,19
positive regulation of endothelial cell chemotaxis,19
myeloid leukocyte differentiation,20
positive regulation of apoptotic signaling pathway,20
endocrine process,21
endocrine pancreas development,21
"""CD4-positive, alpha-beta T cell proliferation""",22
Golgi apparatus,23
alpha-beta T cell activation involved in immune response,24
cytoplasmic pattern recognition receptor signaling pathway,25
interleukin-12 production,26
macrophage chemotaxis,27
necroptotic process,28
negative regulation of B cell proliferation,29
negative regulation of endothelial cell migration,30
negative regulation of nervous system development,31
pancreas development,32
peptide secretion,33
phosphatidylinositol 3-kinase/protein kinase B signal transduction,34
positive regulation of macrophage derived foam cell differentiation,35
regulation of blood circulation,36
regulation of canonical NF-kappaB signal transduction,37
regulation of catalytic activity,38
regulation of cell activation,39
regulation of interleukin-5 production,40
regulation of natural killer cell mediated immunity,41
regulation of tumor necrosis factor superfamily cytokine production,42
response to acid chemical,43
