unit,Term,Adjusted P-value,Overlap,overlap_ratio,Odds Ratio,Combined Score,Genes,n_high,fraction_high
246,Cytokine-Mediated Signaling Pathway (GO:0019221),7.2392444929935e-18,28/255,0.10980392156862745,14.036574121503945,660.9365026540906,CSF1R;CXCL9;CSF2RB;TNFRSF11A;IL2RG;CSF2RA;CCL8;STAT4;IL12B;JAK2;JAK1;IL12RB2;IL13RA1;IL10;IL11;IL33;SMAD4;IFNB1;TNFRSF1B;IL22RA1;IL1A;HCK;CXCL10;CEACAM1;IL1B;XCL1;IL6ST;IL7R,4062,0.050002461962676645
246,Regulation of Tumor Necrosis Factor Production (GO:0032680),9.376226421238097e-11,16/131,0.12213740458015267,14.88468809073724,430.4387352377303,IL10;APP;IL33;FZD5;C5AR2;TWIST1;MMP8;VSIR;IFIH1;IL1A;PTPRC;IL12B;EPHB2;JAK2;TLR4;CD33,4062,0.050002461962676645
246,Response to Cytokine (GO:0034097),4.0858771032543975e-10,15/123,0.12195121951219512,14.783783783783784,401.5068286335162,IFNAR2;APP;CD274;CSF1R;SERPINA3;IFITM1;TNFRSF11A;CASP8;SELL;IL1B;SELENOP;STAT4;CHI3L1;IL6ST;JAK2,4062,0.050002461962676645
246,Positive Regulation of Leukocyte Proliferation (GO:0070665),4.4271665908675167e-10,8/17,0.47058823529411764,91.625,2470.2641304648364,CSF1R;CSF1;GPNMB;IL12B;CSF2RB;JAK2;CSF2RA;PTK2,4062,0.050002461962676645
246,Positive Regulation of Tumor Necrosis Factor Production (GO:0032760),4.1068150417175495e-09,12/82,0.14634146341463414,17.990881458966566,434.6192800626608,IFIH1;APP;IL1A;IL33;PTPRC;FZD5;IL12B;TWIST1;EPHB2;JAK2;MMP8;TLR4,4062,0.050002461962676645
246,Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),5.350369287848554e-09,12/85,0.1411764705882353,17.248907024191197,409.1679727549326,IFIH1;APP;IL1A;IL33;PTPRC;FZD5;IL12B;TWIST1;EPHB2;JAK2;MMP8;TLR4,4062,0.050002461962676645
246,Cellular Response to Lipopolysaccharide (GO:0071222),3.252877561358615e-08,13/125,0.104,12.220397249809016,264.80608315630144,IL10;CD274;CXCL6;CXCL9;CD80;MMP8;TNFRSF1B;CXCL10;HCK;IL1A;IL1B;JAK2;TLR4,4062,0.050002461962676645
246,Regulation of T Cell Proliferation (GO:0042129),5.124726130120205e-08,11/83,0.13253012048192772,15.947089947089948,337.25274730743286,IL10;CD274;PTPRC;GPNMB;CD80;IL1B;IL12B;JAK2;TNFRSF1B;IL6ST;FOXP3,4062,0.050002461962676645
246,Regulation of Type II Interferon Production (GO:0032649),9.03425831908356e-08,11/88,0.125,14.907785336356763,305.716586855594,CD274;FZD5;DDIT3;IL1B;IL12B;XCL1;JAK2;FOXP3;TLR4;VSIR;IL12RB2,4062,0.050002461962676645
246,Cell Surface Receptor Signaling Pathway via STAT (GO:0097696),2.3454851636925907e-07,9/55,0.16363636363636364,20.235146824493512,393.6007286626139,IFNAR2;IFNB1;STAT4;IL12B;CSF2RB;JAK2;IL6ST;CSF2RA;JAK1,4062,0.050002461962676645
246,Mammary Gland Epithelium Development (GO:0061180),2.659755917600757e-07,6/15,0.4,68.01030927835052,1310.0878886918515,CSF1R;WNT7B;JAK2;WNT2;WNT3;EPHA2,4062,0.050002461962676645
246,Negative Regulation of T Cell Mediated Immunity (GO:0002710),5.768888661398427e-07,6/17,0.35294117647058826,55.63917525773196,1022.337713540772,CD274;CEACAM1;PTPRC;CD80;XCL1;FOXP3,4062,0.050002461962676645
246,Cell Surface Receptor Signaling Pathway via JAK-STAT (GO:0007259),1.0224332102464425e-06,8/47,0.1702127659574468,21.112179487179485,374.7303730596972,IFNAR2;IFNB1;STAT4;IL12B;CSF2RB;JAK2;CSF2RA;JAK1,4062,0.050002461962676645
246,Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560),2.5888493759683558e-06,10/98,0.10204081632653061,11.789473684210526,197.7147693321704,ITGB1;JUN;SMAD4;TGFB2;TGFB3;APOA1;XCL1;WNT7A;WNT2;PTK2,4062,0.050002461962676645
246,Positive Regulation of Lymphocyte Proliferation (GO:0050671),3.4690726319230667e-06,9/77,0.11688311688311688,13.673236834000615,224.33895481846685,CD274;PTPRC;CD81;CD80;IL1B;IL12B;EPHB2;JAK2;IL6ST,4062,0.050002461962676645
246,Cellular Response to Interleukin-6 (GO:0071354),3.680323951968032e-06,6/23,0.2608695652173913,35.99090357792601,587.5720698277966,SMAD4;PTGIS;SELPLG;IL6ST;JAK2;JAK1,4062,0.050002461962676645
246,Secondary Palate Development (GO:0062009),4.973209890206671e-06,5/13,0.38461538461538464,63.43589743589744,1013.7704525458294,SMAD4;TGFB2;WNT11;TGFB3;WNT7A,4062,0.050002461962676645
246,Regulation of Interleukin-8 Production (GO:0032677),5.907009563070462e-06,9/83,0.10843373493975904,12.560775435120984,197.79543589447545,IL10;PTPRC;DDIT3;IL1B;C5AR2;CHI3L1;FFAR2;TLR4;CD33,4062,0.050002461962676645
246,Wnt Signaling Pathway (GO:0016055),5.907009563070462e-06,9/83,0.10843373493975904,12.560775435120984,197.79543589447545,WNT11;FZD5;WNT7B;FZD6;SNAI1;WNT7A;CD24;WNT2;WNT3,4062,0.050002461962676645
246,Canonical Wnt Signaling Pathway (GO:0060070),7.68475574772011e-06,8/63,0.12698412698412698,14.958333333333334,229.98870557377373,WNT11;FZD5;WNT7B;FZD6;SNAI1;WNT7A;WNT2;WNT3,4062,0.050002461962676645
246,Negative Regulation of Lymphocyte Proliferation (GO:0050672),7.68475574772011e-06,7/43,0.16279069767441862,19.9119170984456,305.80839613375537,IL10;CD274;TNFRSF13B;GPNMB;CD80;CTLA4;FOXP3,4062,0.050002461962676645
246,Positive Regulation of Production of Molecular Mediator of Immune Response (GO:0002702),7.68475574772011e-06,7/43,0.16279069767441862,19.9119170984456,305.80839613375537,IL10;PTPRC;XCL1;FFAR2;IL2RG;EPHB2;IL13RA1,4062,0.050002461962676645
